2025-12-23 20:43:06.896 [main] INFO  c.a.n.client.logging.NacosLogging - Nacos Logging Adapter Builder: com.alibaba.nacos.logger.adapter.logback12.LogbackNacosLoggingAdapterBuilder
2025-12-23 20:43:11.214 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.4.4.Final
2025-12-23 20:43:11.266 [main] INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2025-12-23 20:43:12.253 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2025-12-23 20:43:12.395 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2025-12-23 20:43:12.727 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@5d8e4fa8
2025-12-23 20:43:12.731 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2025-12-23 20:43:15.398 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2025-12-23 20:43:15.511 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2025-12-23 20:43:16.825 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2025-12-23 20:43:16.883 [main] WARN  o.s.b.a.s.s.UserDetailsServiceAutoConfiguration - 

Using generated security password: cf0d417e-0465-4225-a2ae-d7364dd677a2

This generated password is for development use only. Your security configuration must be updated before running your application in production.

2025-12-23 20:43:17.627 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@2ccfd2cb, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@36c8e1c6, org.springframework.security.web.context.SecurityContextHolderFilter@5abf9a76, org.springframework.security.web.header.HeaderWriterFilter@3ae5cbb9, org.springframework.web.filter.CorsFilter@42014a, org.springframework.security.web.authentication.logout.LogoutFilter@6d9bcf19, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@7f2d4ffc, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@38293d23, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@5e78dd7f, org.springframework.security.web.access.ExceptionTranslationFilter@7b237c2c, org.springframework.security.web.access.intercept.AuthorizationFilter@3c84c32f]
2025-12-23 20:43:18.712 [main] INFO  c.b.m.e.s.MybatisPlusApplicationContextAware - Register ApplicationContext instances org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@1804f60d
2025-12-23 20:43:20.182 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8101"]
2025-12-23 20:43:20.238 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8101 (http) with context path ''
2025-12-23 20:43:20.322 [main] INFO  c.a.n.p.a.s.c.ClientAuthPluginManager - [ClientAuthPluginManager] Load ClientAuthService com.alibaba.nacos.client.auth.impl.NacosClientAuthServiceImpl success.
2025-12-23 20:43:20.322 [main] INFO  c.a.n.p.a.s.c.ClientAuthPluginManager - [ClientAuthPluginManager] Load ClientAuthService com.alibaba.nacos.client.auth.ram.RamClientAuthServiceImpl success.
2025-12-23 20:43:21.760 [main] INFO  c.a.n.c.a.AbstractAbilityControlManager - Ready to get current node abilities...
2025-12-23 20:43:21.763 [main] INFO  c.a.n.c.a.AbstractAbilityControlManager - Ready to initialize current node abilities, support modes: [SDK_CLIENT]
2025-12-23 20:43:21.764 [main] INFO  c.a.n.c.a.AbstractAbilityControlManager - Initialize current abilities finish...
2025-12-23 20:43:21.765 [main] INFO  c.a.n.c.a.d.NacosAbilityManagerHolder - [AbilityControlManager] Successfully initialize AbilityControlManager
2025-12-23 20:43:21.819 [main] INFO  c.a.c.n.r.NacosServiceRegistry - nacos registry, DEFAULT_GROUP exp-auth 192.168.56.1:8101 register finished
2025-12-23 20:43:22.138 [main] INFO  jh.exp.auth.AuthApplication - Started AuthApplication in 16.313 seconds (process running for 17.746)
2025-12-23 20:43:31.985 [http-nio-8101-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-12-23 20:43:31.986 [http-nio-8101-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2025-12-23 20:43:31.987 [http-nio-8101-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2025-12-23 20:43:32.297 [http-nio-8101-exec-1] INFO  j.exp.auth.service.LoginAuthService - 用户尝试登录，username=admin
2025-12-23 20:43:32.455 [http-nio-8101-exec-1] INFO  j.exp.auth.service.LoginAuthService - 用户登录成功，username=admin，accountId=1
2025-12-23 20:43:42.025 [http-nio-8101-exec-2] INFO  j.exp.auth.service.LoginAuthService - 用户尝试登录，username=admin
2025-12-23 20:43:42.137 [http-nio-8101-exec-2] INFO  j.exp.auth.service.LoginAuthService - 用户登录成功，username=admin，accountId=1
2025-12-23 20:44:04.592 [http-nio-8101-exec-3] INFO  j.exp.auth.service.LoginAuthService - 用户尝试登录，username=admin
2025-12-23 20:44:04.677 [http-nio-8101-exec-3] INFO  j.exp.auth.service.LoginAuthService - 用户登录成功，username=admin，accountId=1
2025-12-23 20:46:06.871 [idle-monitor-exp-auth] INFO  SERVICE_IDLE_MONITOR - ====== [SERVICE_IDLE] [exp-auth] 系统已进入休眠，等待激活 ======
2025-12-23 20:48:06.879 [idle-monitor-exp-auth] INFO  SERVICE_IDLE_MONITOR - ====== [SERVICE_IDLE] [exp-auth] 系统已进入休眠，等待激活 ======
2025-12-23 20:50:36.881 [idle-monitor-exp-auth] INFO  SERVICE_IDLE_MONITOR - ====== [SERVICE_IDLE] [exp-auth] 系统已进入休眠，等待激活 ======
2025-12-23 20:50:44.612 [http-nio-8101-exec-7] INFO  j.exp.auth.service.LoginAuthService - 用户尝试登录，username=admin
2025-12-23 20:50:44.702 [http-nio-8101-exec-7] INFO  j.exp.auth.service.LoginAuthService - 用户登录成功，username=admin，accountId=1
2025-12-23 20:53:06.872 [idle-monitor-exp-auth] INFO  SERVICE_IDLE_MONITOR - ====== [SERVICE_IDLE] [exp-auth] 系统已进入休眠，等待激活 ======
2025-12-23 20:55:06.872 [idle-monitor-exp-auth] INFO  SERVICE_IDLE_MONITOR - ====== [SERVICE_IDLE] [exp-auth] 系统已进入休眠，等待激活 ======
2025-12-23 20:57:06.880 [idle-monitor-exp-auth] INFO  SERVICE_IDLE_MONITOR - ====== [SERVICE_IDLE] [exp-auth] 系统已进入休眠，等待激活 ======
2025-12-23 20:59:36.875 [idle-monitor-exp-auth] INFO  SERVICE_IDLE_MONITOR - ====== [SERVICE_IDLE] [exp-auth] 系统已进入休眠，等待激活 ======
2025-12-23 21:02:06.870 [idle-monitor-exp-auth] INFO  SERVICE_IDLE_MONITOR - ====== [SERVICE_IDLE] [exp-auth] 系统已进入休眠，等待激活 ======
2025-12-23 21:03:33.219 [Thread-16] WARN  c.a.nacos.common.notify.NotifyCenter - [NotifyCenter] Start destroying Publisher
2025-12-23 21:03:33.219 [Thread-16] WARN  c.a.nacos.common.notify.NotifyCenter - [NotifyCenter] Destruction of the end
2025-12-23 21:03:33.220 [Thread-18] WARN  c.a.n.c.http.HttpClientBeanHolder - [HttpClientBeanHolder] Start destroying common HttpClient
2025-12-23 21:03:33.220 [Thread-18] WARN  c.a.n.c.http.HttpClientBeanHolder - [HttpClientBeanHolder] Destruction of the end
2025-12-23 21:03:33.219 [Thread-2] WARN  c.a.n.c.executor.ThreadPoolManager - [ThreadPoolManager] Start destroying ThreadPool
2025-12-23 21:03:33.221 [Thread-2] WARN  c.a.n.c.executor.ThreadPoolManager - [ThreadPoolManager] Destruction of the end
2025-12-23 21:03:33.222 [SpringApplicationShutdownHook] INFO  c.a.c.n.r.NacosServiceRegistry - De-registering from Nacos Server now...
2025-12-23 21:03:33.234 [SpringApplicationShutdownHook] INFO  c.a.c.n.r.NacosServiceRegistry - De-registration finished.
2025-12-23 21:03:43.291 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2025-12-23 21:03:43.294 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2025-12-23 21:03:43.300 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2025-12-23 23:03:55.785 [main] INFO  c.a.n.client.logging.NacosLogging - Nacos Logging Adapter Builder: com.alibaba.nacos.logger.adapter.logback12.LogbackNacosLoggingAdapterBuilder
2025-12-23 23:03:55.791 [main] INFO  c.a.n.client.logging.NacosLogging - Nacos Logging Adapter Builder: com.alibaba.nacos.logger.adapter.logback14.LogbackNacosLoggingAdapterBuilder
2025-12-23 23:03:55.792 [main] INFO  c.a.n.client.logging.NacosLogging - Nacos Logging Adapter: com.alibaba.nacos.logger.adapter.logback14.LogbackNacosLoggingAdapter match ch.qos.logback.classic.Logger success.
2025-12-23 23:03:55.804 [main] INFO  c.a.n.client.logging.NacosLogging - Nacos Logging Adapter Builder: com.alibaba.nacos.logger.adapter.log4j2.Log4j2NacosLoggingAdapterBuilder
2025-12-23 23:03:55.813 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2025-12-23 23:03:55.989 [main] INFO  jh.exp.auth.AuthApplication - Starting AuthApplication using Java 17.0.12 with PID 11684 (D:\ieda_deta\exp_v2\exp-auth\exp-auth-service\target\classes started by Administrator in D:\ieda_deta\exp_v2)
2025-12-23 23:03:55.991 [main] INFO  jh.exp.auth.AuthApplication - No active profile set, falling back to 1 default profile: "default"
2025-12-23 23:03:57.363 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2025-12-23 23:03:57.365 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2025-12-23 23:03:57.390 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 12 ms. Found 0 JPA repository interfaces.
2025-12-23 23:03:57.407 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2025-12-23 23:03:57.408 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2025-12-23 23:03:57.424 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 5 ms. Found 0 Redis repository interfaces.
2025-12-23 23:03:57.697 [main] INFO  o.s.cloud.context.scope.GenericScope - BeanFactory id=032fbe5d-0ec4-3b90-94ee-cb9e464651a1
2025-12-23 23:03:58.352 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8101 (http)
2025-12-23 23:03:58.367 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8101"]
2025-12-23 23:03:58.370 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2025-12-23 23:03:58.370 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.20]
2025-12-23 23:03:58.491 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-12-23 23:03:58.491 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 2415 ms
2025-12-23 23:03:58.699 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2025-12-23 23:03:58.787 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.4.4.Final
2025-12-23 23:03:58.833 [main] INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2025-12-23 23:03:59.152 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2025-12-23 23:03:59.189 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2025-12-23 23:03:59.372 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@6144e499
2025-12-23 23:03:59.374 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2025-12-23 23:04:00.904 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
2025-12-23 23:04:00.965 [main] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Initialized JPA EntityManagerFactory for persistence unit 'default'
2025-12-23 23:04:01.817 [main] WARN  o.s.b.a.o.j.JpaBaseConfiguration$JpaWebConfiguration - spring.jpa.open-in-view is enabled by default. Therefore, database queries may be performed during view rendering. Explicitly configure spring.jpa.open-in-view to disable this warning
2025-12-23 23:04:01.844 [main] WARN  o.s.b.a.s.s.UserDetailsServiceAutoConfiguration - 

Using generated security password: c8ed8f09-d2e3-43fc-adf4-23445aa9e62a

This generated password is for development use only. Your security configuration must be updated before running your application in production.

2025-12-23 23:04:02.148 [main] INFO  o.s.s.web.DefaultSecurityFilterChain - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@e62d757, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@597f2d3f, org.springframework.security.web.context.SecurityContextHolderFilter@7f746160, org.springframework.security.web.header.HeaderWriterFilter@2aa85cc4, org.springframework.web.filter.CorsFilter@7746330a, org.springframework.security.web.authentication.logout.LogoutFilter@57ac220f, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@2f89b44e, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@730a140b, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@3de4f936, org.springframework.security.web.access.ExceptionTranslationFilter@24e0bdb, org.springframework.security.web.access.intercept.AuthorizationFilter@63069995]
2025-12-23 23:04:03.016 [main] INFO  c.b.m.e.s.MybatisPlusApplicationContextAware - Register ApplicationContext instances org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@69c43e48
2025-12-23 23:04:03.937 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8101"]
2025-12-23 23:04:03.974 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat started on port 8101 (http) with context path ''
2025-12-23 23:04:04.022 [main] INFO  c.a.n.p.a.s.c.ClientAuthPluginManager - [ClientAuthPluginManager] Load ClientAuthService com.alibaba.nacos.client.auth.impl.NacosClientAuthServiceImpl success.
2025-12-23 23:04:04.022 [main] INFO  c.a.n.p.a.s.c.ClientAuthPluginManager - [ClientAuthPluginManager] Load ClientAuthService com.alibaba.nacos.client.auth.ram.RamClientAuthServiceImpl success.
2025-12-23 23:04:05.295 [main] INFO  c.a.n.c.a.AbstractAbilityControlManager - Ready to get current node abilities...
2025-12-23 23:04:05.297 [main] INFO  c.a.n.c.a.AbstractAbilityControlManager - Ready to initialize current node abilities, support modes: [SDK_CLIENT]
2025-12-23 23:04:05.298 [main] INFO  c.a.n.c.a.AbstractAbilityControlManager - Initialize current abilities finish...
2025-12-23 23:04:05.298 [main] INFO  c.a.n.c.a.d.NacosAbilityManagerHolder - [AbilityControlManager] Successfully initialize AbilityControlManager
2025-12-23 23:04:05.337 [main] INFO  c.a.c.n.r.NacosServiceRegistry - nacos registry, DEFAULT_GROUP exp-auth 192.168.137.1:8101 register finished
2025-12-23 23:04:05.699 [main] INFO  jh.exp.auth.AuthApplication - Started AuthApplication in 11.508 seconds (process running for 12.996)
2025-12-23 23:06:25.777 [idle-monitor-exp-auth] INFO  SERVICE_IDLE_MONITOR - ====== [SERVICE_IDLE] [exp-auth] 系统已进入休眠，等待激活 ======
2025-12-23 23:08:25.783 [idle-monitor-exp-auth] INFO  SERVICE_IDLE_MONITOR - ====== [SERVICE_IDLE] [exp-auth] 系统已进入休眠，等待激活 ======
2025-12-23 23:10:55.774 [idle-monitor-exp-auth] INFO  SERVICE_IDLE_MONITOR - ====== [SERVICE_IDLE] [exp-auth] 系统已进入休眠，等待激活 ======
2025-12-23 23:13:25.768 [idle-monitor-exp-auth] INFO  SERVICE_IDLE_MONITOR - ====== [SERVICE_IDLE] [exp-auth] 系统已进入休眠，等待激活 ======
2025-12-23 23:15:25.775 [idle-monitor-exp-auth] INFO  SERVICE_IDLE_MONITOR - ====== [SERVICE_IDLE] [exp-auth] 系统已进入休眠，等待激活 ======
2025-12-23 23:17:55.774 [idle-monitor-exp-auth] INFO  SERVICE_IDLE_MONITOR - ====== [SERVICE_IDLE] [exp-auth] 系统已进入休眠，等待激活 ======
2025-12-23 23:19:55.774 [idle-monitor-exp-auth] INFO  SERVICE_IDLE_MONITOR - ====== [SERVICE_IDLE] [exp-auth] 系统已进入休眠，等待激活 ======
2025-12-23 23:22:25.782 [idle-monitor-exp-auth] INFO  SERVICE_IDLE_MONITOR - ====== [SERVICE_IDLE] [exp-auth] 系统已进入休眠，等待激活 ======
2025-12-23 23:23:08.188 [http-nio-8101-exec-1] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2025-12-23 23:23:08.189 [http-nio-8101-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2025-12-23 23:23:08.190 [http-nio-8101-exec-1] INFO  o.s.web.servlet.DispatcherServlet - Completed initialization in 1 ms
2025-12-23 23:23:08.368 [http-nio-8101-exec-1] INFO  j.exp.auth.service.LoginAuthService - 用户尝试登录，username=admin
2025-12-23 23:23:08.532 [http-nio-8101-exec-1] INFO  j.exp.auth.service.LoginAuthService - 用户登录成功，username=admin，accountId=1
2025-12-23 23:25:25.774 [idle-monitor-exp-auth] INFO  SERVICE_IDLE_MONITOR - ====== [SERVICE_IDLE] [exp-auth] 系统已进入休眠，等待激活 ======
2025-12-23 23:27:55.776 [idle-monitor-exp-auth] INFO  SERVICE_IDLE_MONITOR - ====== [SERVICE_IDLE] [exp-auth] 系统已进入休眠，等待激活 ======
2025-12-23 23:29:55.776 [idle-monitor-exp-auth] INFO  SERVICE_IDLE_MONITOR - ====== [SERVICE_IDLE] [exp-auth] 系统已进入休眠，等待激活 ======
2025-12-23 23:32:25.773 [idle-monitor-exp-auth] INFO  SERVICE_IDLE_MONITOR - ====== [SERVICE_IDLE] [exp-auth] 系统已进入休眠，等待激活 ======
2025-12-23 23:34:55.776 [idle-monitor-exp-auth] INFO  SERVICE_IDLE_MONITOR - ====== [SERVICE_IDLE] [exp-auth] 系统已进入休眠，等待激活 ======
2025-12-23 23:37:25.040 [Thread-16] WARN  c.a.nacos.common.notify.NotifyCenter - [NotifyCenter] Start destroying Publisher
2025-12-23 23:37:25.040 [Thread-2] WARN  c.a.n.c.executor.ThreadPoolManager - [ThreadPoolManager] Start destroying ThreadPool
2025-12-23 23:37:25.041 [Thread-16] WARN  c.a.nacos.common.notify.NotifyCenter - [NotifyCenter] Destruction of the end
2025-12-23 23:37:25.041 [Thread-18] WARN  c.a.n.c.http.HttpClientBeanHolder - [HttpClientBeanHolder] Start destroying common HttpClient
2025-12-23 23:37:25.041 [Thread-2] WARN  c.a.n.c.executor.ThreadPoolManager - [ThreadPoolManager] Destruction of the end
2025-12-23 23:37:25.042 [Thread-18] WARN  c.a.n.c.http.HttpClientBeanHolder - [HttpClientBeanHolder] Destruction of the end
2025-12-23 23:37:25.043 [SpringApplicationShutdownHook] INFO  c.a.c.n.r.NacosServiceRegistry - De-registering from Nacos Server now...
2025-12-23 23:37:25.049 [SpringApplicationShutdownHook] INFO  c.a.c.n.r.NacosServiceRegistry - De-registration finished.
2025-12-23 23:37:34.145 [main] INFO  c.a.n.client.logging.NacosLogging - Nacos Logging Adapter Builder: com.alibaba.nacos.logger.adapter.logback12.LogbackNacosLoggingAdapterBuilder
2025-12-23 23:37:34.150 [main] INFO  c.a.n.client.logging.NacosLogging - Nacos Logging Adapter Builder: com.alibaba.nacos.logger.adapter.logback14.LogbackNacosLoggingAdapterBuilder
2025-12-23 23:37:34.151 [main] INFO  c.a.n.client.logging.NacosLogging - Nacos Logging Adapter: com.alibaba.nacos.logger.adapter.logback14.LogbackNacosLoggingAdapter match ch.qos.logback.classic.Logger success.
2025-12-23 23:37:34.161 [main] INFO  c.a.n.client.logging.NacosLogging - Nacos Logging Adapter Builder: com.alibaba.nacos.logger.adapter.log4j2.Log4j2NacosLoggingAdapterBuilder
2025-12-23 23:37:34.167 [background-preinit] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.1.Final
2025-12-23 23:37:34.286 [main] INFO  jh.exp.auth.AuthApplication - Starting AuthApplication using Java 17.0.12 with PID 13784 (D:\ieda_deta\exp_v2\exp-auth\exp-auth-service\target\classes started by Administrator in D:\ieda_deta\exp_v2)
2025-12-23 23:37:34.287 [main] INFO  jh.exp.auth.AuthApplication - No active profile set, falling back to 1 default profile: "default"
2025-12-23 23:37:35.264 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2025-12-23 23:37:35.266 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2025-12-23 23:37:35.283 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 10 ms. Found 0 JPA repository interfaces.
2025-12-23 23:37:35.298 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode
2025-12-23 23:37:35.299 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2025-12-23 23:37:35.312 [main] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 5 ms. Found 0 Redis repository interfaces.
2025-12-23 23:37:35.542 [main] INFO  o.s.cloud.context.scope.GenericScope - BeanFactory id=032fbe5d-0ec4-3b90-94ee-cb9e464651a1
2025-12-23 23:37:36.010 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer - Tomcat initialized with port 8101 (http)
2025-12-23 23:37:36.020 [main] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8101"]
2025-12-23 23:37:36.021 [main] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2025-12-23 23:37:36.021 [main] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/10.1.20]
2025-12-23 23:37:36.109 [main] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2025-12-23 23:37:36.110 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 1779 ms
2025-12-23 23:37:36.291 [main] INFO  o.h.jpa.internal.util.LogHelper - HHH000204: Processing PersistenceUnitInfo [name: default]
2025-12-23 23:37:36.376 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.4.4.Final
2025-12-23 23:37:36.423 [main] INFO  o.h.c.i.RegionFactoryInitiator - HHH000026: Second-level cache disabled
2025-12-23 23:37:36.696 [main] INFO  o.s.o.j.p.SpringPersistenceUnitInfo - No LoadTimeWeaver setup: ignoring JPA class transformer
2025-12-23 23:37:36.730 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2025-12-23 23:37:36.875 [main] INFO  com.zaxxer.hikari.pool.HikariPool - HikariPool-1 - Added connection com.mysql.cj.jdbc.ConnectionImpl@26f204a4
2025-12-23 23:37:36.877 [main] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2025-12-23 23:37:38.062 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000489: No JTA platform available (set 'hibernate.transaction.jta.platform' to enable JTA platform integration)
